epic_name,pl_orbper,pl_ratror,st_rad
EPIC 206114294,3.291897,7.77,0.4
EPIC 206114630,7.4448754,0.03097,0.78
EPIC 206119924,4.6556782,0.01,0.66
EPIC 206125618,6.5311178,0.02884,0.82
EPIC 206135075,54.976021,0.2481,1.41
EPIC 206135267,2.5730187,0.2167,0.69
EPIC 206135267,2.573088,12.35,2.5
EPIC 206135682,5.025831,0.01961,0.72
EPIC 206144956,12.647849,0.01986,0.72
EPIC 206146957,5.7619248,0.01357,0.83
EPIC 206151047,0.35840528,0.01598,1.04
EPIC 206151047,0.358378,0.017,0.89
EPIC 206153219,5.0689232,0.01563,1.59
EPIC 206154641,2.4841905,10.31,1.39
EPIC 206154641,2.4841939,0.1042,1.13
EPIC 206155547,24.3872,0.1401,
EPIC 206155547,24.387407,0.1408,1.09
EPIC 206159027,8.0549321,0.02249,0.72
EPIC 206162305,7.0658874,0.04315,0.61
EPIC 206169375,0.367453,0.0246,0.95
EPIC 206169375,0.36747226,0.02295,1.29
EPIC 206181769,13.97876,0.0297,0.77
EPIC 206192335,3.59912,1.63,0.82
EPIC 206192335,3.5990666,0.0174,0.78
EPIC 206192813,6.9862794,0.05874,0.57
EPIC 206209135,5.5773147,0.03002,0.43
EPIC 206215704,0.62309386,0.03441,0.65
EPIC 206245553,7.4956613,0.02273,1.77
EPIC 206245553,7.495,0.0239,
EPIC 206247743,4.6049829,0.01872,0.74
EPIC 206247743,4.6028,0.0178,
EPIC 206268299,19.565086,0.02425,1.01
EPIC 206298289,0.4348359,0.02723,0.5
EPIC 206298289,0.434827,0.0297,0.5
EPIC 206312951,1.5339666,0.02385,0.52
EPIC 206317286,17.501662,0.03159,0.73
EPIC 206318379,2.2604439,0.0774,0.18
EPIC 206348688,7.8173399,0.01814,1.01
EPIC 206348688,18.283257,0.01992,1.01
EPIC 206403979,23.8039,21,0.48
EPIC 206417197,0.442094,0.0138,0.77
EPIC 206417197,0.44214967,0.01471,0.76
EPIC 206432863,11.989686,0.08007,0.96
EPIC 206432863,11.9897,0.0787,
EPIC 206439513,18.406118,0.02417,1.84
EPIC 206532093,2.2021868,0.5916,0.96
EPIC 206535016,20.398147,0.03633,0.85
EPIC 206543223,17.812866,0.2568,0.92
EPIC 206543223,17.81188,21.2,0.93
EPIC 207389002,2.931226,75,1.12
EPIC 207739861,1.81449,27,0.92
EPIC 208445756,22.4844,65,1.15
EPIC 208833261,3.47451,5.36,1.83
EPIC 209036259,0.369181,7.05,2.22
EPIC 209286622,6.71694,44,0.82
EPIC 210389383,14.08549,14.602,1.32
EPIC 210414957,0.969967,35,1.54
EPIC 210558622,19.564,3.49,0.67
EPIC 210605073,0.567055,0.1047,1.42
EPIC 210609658,14.14459,5.71,2.69
EPIC 210625740,2.38669,11,0.29
EPIC 210659688,2.35771,10.4,0.27
EPIC 210666756,1.396291,1.67,1.02
EPIC 210707130,0.684575,0.0181,0.71
EPIC 210754505,0.870673,11,1.74
EPIC 210903662,2.410271,10.1,1.51
EPIC 210958990,1.702301,13.69,1.28
EPIC 210961508,0.349935,0.0263,0.76
EPIC 211147528,2.349455,8.07,1.81
EPIC 211308899,6.423,1.9868,
EPIC 211314705,3.794,3.1731,
EPIC 211319617,8.866,3.2056,
EPIC 211328748,17.178,1.4808,
EPIC 211331236,1.292,3.6291,
EPIC 211333233,5.409,1.3096,
EPIC 211335816,4.99,4.3667,
EPIC 211336616,44.13,2.0655,
EPIC 211342524,14.449,30.3214,
EPIC 211351816,8.406,2.3577,
EPIC 211355342,6.893,2.4185,
EPIC 211357309,0.46395,0.0186,0.42
EPIC 211359660,4.737,3.1257,
EPIC 211365543,5.264,0.9804,
EPIC 211375488,2.084,4.8839,
EPIC 211383821,1.567,1.8044,
EPIC 211391664,10.136,2.9486,
EPIC 211399359,3.115,15.3019,
EPIC 211401787,13.773,1.5638,
EPIC 211413752,9.325,3.0376,
EPIC 211418729,11.391,11.5172,
EPIC 211424769,5.176,5.9037,
EPIC 211428897,1.611,2.2748,
EPIC 211439059,18.641,1.6896,
EPIC 211442297,20.272,12.0449,
EPIC 211490999,9.844,2.8435,
EPIC 211491383,4.144,0.8845,
EPIC 211509553,20.359,18.1997,
EPIC 211525389,8.267,3.2454,
EPIC 211529065,4.4,3.6012,
EPIC 211562654,10.792,2.2862,
EPIC 211569704,34.023,1.7559,
EPIC 211579112,17.703,8.0674,
EPIC 211586387,35.383,3.0738,
EPIC 211594205,16.994,1.7749,
EPIC 211645912,10.673,1.6562,
EPIC 211685045,0.769057,0.035,0.54
EPIC 211713099,8.562,6.768,
EPIC 211733267,8.658,7.5206,
EPIC 211736671,4.734,2.7891,
EPIC 211743874,12.281,1.5248,
EPIC 211763214,21.199,1.3507,
EPIC 211770696,16.271,1.7668,
EPIC 211770795,7.728,2.8133,
EPIC 211770867,27.693,13.5722,
EPIC 211779390,3.85,1.6802,
EPIC 211783206,7.134,2.1212,
EPIC 211800191,1.106,3.1229,
EPIC 211804579,1.523,2.4602,
EPIC 211808055,3.383,4.0506,
EPIC 211814733,14.71,6.6437,
EPIC 211816003,14.452,3.2178,
EPIC 211818569,5.186,10.3821,
EPIC 211834065,10.545,1.1974,
EPIC 211886472,19.64,7.4167,
EPIC 211897691,5.75,3.0749,
EPIC 211906259,2.52,1.0236,
EPIC 211919004,11.72,3.2422,
