201167737,11 31 19.559,-04 52 23.34,1,19.426,,,,11311955-0452233,5976-301-5-0147-0328,STAR,gri,-34,4,-35,4,,,,,,,24.044,0.459,21.119,0.029,19.72,0.015,18.701,0.011,18.136,0.017,16.613,0.129,16.097,0.186,,,,,,,,,,
201167738,11 32 19.044,-04 52 23.33,1,19.171,,,,,5973-301-5-0036-0247,STAR,gri,1,3,1,3,,,,,,,19.553,0.029,19.349,0.011,19.111,0.011,19.062,0.014,19.12,0.038,,,,,,,,,,,,,,
201167858,11 41 15.207,-04 52 13.39,1,18.346,,,,11411520-0452133,,STAR,J,,,,,,,,,,,,,,,,,,,,,16.785,0.143,16.033,0.165,15.025,0.145,3548,5.037,-0.178,0.215,0.218,18.13,482.5,0.03
201168414,11 45 53.953,-04 51 21.14,1,18.43,,,,11455395-0451211,,STAR,J,,,,,,,,,,,,,,,,,,,,,16.863,0.16,15.871,0.123,,,,,,,,,,
201168696,11 38 39.877,-04 50 54.64,1,18.645,,,,11383987-0450546,5973-301-2-0042-0311,STAR,gri,,,,,,,,,,,24.201,0.758,20.798,0.029,19.282,0.013,17.723,0.007,16.812,0.009,15.311,0.053,14.662,0.059,14.232,0.067,3093,5.181,0.038,0.154,0.131,35.93,141.5,0.016
201169297,11 30 36.433,-04 50 00.41,1,19.013,,,,,5973-301-6-0035-0233,STAR,gri,-4,3,-8,3,,,,,,,19.5,0.031,19.21,0.01,18.948,0.01,18.761,0.012,18.78,0.032,,,,,,,,,,,,,,
201169753,11 43 21.133,-04 49 22.94,1,18.351,,,,11432113-0449229,,STAR,J,,,,,,,,,,,,,,,,,,,,,16.79,0.139,16.182,0.165,,,,,,,,,,
201169810,11 18 55.715,-04 49 17.17,1,18.028,,,,11185571-0449171,,STAR,JHK,,,,,,,,,,,,,,,,,,,,,16.131,0.082,15.712,0.126,15.379,0.193,3969,4.9,-0.358,0.353,0.384,6.997,636.7,0.029
201169856,11 34 14.796,-04 49 12.64,1,18.102,,,,11341479-0449126,5973-301-4-0038-0266,STAR,gri,-28,3,-35,3,,,,,,,22.553,0.264,19.926,0.015,18.55,0.009,17.321,0.006,16.636,0.009,15.361,0.054,14.729,0.057,14.424,0.081,3278,5.126,0.107,0.176,0.154,27.82,173.8,0.015
201170542,11 31 14.640,-04 48 13.44,1,18.293,,,,11311464-0448134,5976-301-5-0147-0351,STAR,gri,47,4,-35,4,,,,,,,22.9,0.225,20.474,0.02,18.915,0.01,17.358,0.007,16.534,0.009,15.086,0.046,14.484,0.052,14.161,0.08,3398,5.148,-0.237,0.172,0.154,29.6,160.2,0.026
201171139,11 41 38.346,-04 47 21.71,1,18.152,,,,11413834-0447217,,STAR,JHK,,,,,,,,,,,,,,,,,,,,,15.633,0.115,14.818,0.14,14.57,0.139,3973,4.867,-0.248,0.38,0.417,6.182,608.2,0.029
201171265,11 39 13.035,-04 47 10.36,1,19.355,,,,11391303-0447103,5976-301-1-0154-0327,STAR,gri,-23,4,22,4,,,,,,,24.639,0.561,21.184,0.033,19.689,0.015,18.571,0.01,17.966,0.017,16.838,0.169,16.079,0.194,,,,,,,,,,
201171573,11 22 27.629,-04 46 44.63,1,18.317,,,,11222762-0446446,,STAR,J,,,,,,,,,,,,,,,,,,,,,16.758,0.144,16.308,0.203,,,,,,,,,,
201171706,11 34 39.454,-04 46 32.74,1,18.58,,,,11343945-0446327,5973-301-4-0039-0138,STAR,gri,51,3,-105,3,,,,,,,22.115,0.187,20.039,0.016,18.616,0.009,17.955,0.007,17.577,0.015,16.321,0.102,15.688,0.122,15.372,0.169,3758,5.075,-0.498,0.223,0.218,19.52,365.8,0.037
201171716,11 43 27.799,-04 46 32.14,1,18.453,,,,11432779-0446321,,STAR,JHK,,,,,,,,,,,,,,,,,,,,,15.973,0.094,15.35,0.091,15.031,0.154,3809,4.95,-0.248,0.317,0.348,8.757,507.9,0.029
201171777,11 24 30.263,-04 46 26.08,1,18.27,,,,11243026-0446260,,STAR,JHK,,,,,,,,,,,,,,,,,,,,,15.872,0.068,15.342,0.08,14.965,0.119,3670,4.999,-0.198,0.277,0.275,12.91,433.8,0.029
201172043,11 32 58.248,-04 46 04.39,1,18.207,,,,11325824-0446043,5973-301-5-0038-0129,STAR,gri,-111,3,36,3,,,,,,,22.961,0.312,20.132,0.018,18.546,0.008,17.382,0.006,16.751,0.009,15.422,0.047,14.821,0.06,14.67,0.092,3304,5.178,-0.298,0.16,0.14,34.35,174.6,0.02
201172569,11 34 40.385,-04 45 18.65,1,19.003,,,,11344038-0445186,5973-301-4-0039-0225,STAR,gri,-79,8,14,8,,,,,,,23.168,0.413,21.162,0.035,19.691,0.017,18.078,0.008,17.185,0.012,15.744,0.066,14.974,0.072,14.926,0.138,3056,5.182,0.085,0.152,0.128,36.61,159.2,0.023
201173274,11 33 48.008,-04 44 16.50,1,18.982,,,,11334800-0444165,5976-301-4-0150-0250,STAR,gri,25,3,-37,3,,,,,,,20.769,0.055,18.079,0.007,16.489,0.005,19.369,0.028,13.976,0.006,12.475,0.023,11.899,0.023,11.647,0.021,3593,5.008,0.037,0.27,0.274,12.95,80.8,0.014
201173815,11 41 07.382,-04 43 28.23,1,18.056,,,,11410738-0443282,,STAR,JHK,,,,,,,,,,,,,,,,,,,,,15.683,0.054,15.21,0.074,14.785,0.105,3592,5.01,-0.133,0.246,0.252,13.69,338.3,0.029
201173874,11 17 13.428,-04 43 23.06,1,18.006,,,,11171342-0443230,,STAR,JHK,,,,,,,,,,,,,,,,,,,,,15.476,0.051,14.918,0.081,14.502,0.089,3628,4.994,-0.133,0.259,0.274,13.22,333.8,0.029
201174616,11 17 14.804,-04 42 22.58,1,18.198,,,,11171480-0442225,,STAR,JHK,,,,,,,,,,,,,,,,,,,,,15.859,0.081,15.161,0.085,14.973,0.146,3951,4.873,-0.248,0.381,0.433,7.217,615,0.032
201178067,11 30 01.254,-04 37 25.06,1,18.568,,,,11300125-0437250,5976-301-6-0147-0336,STAR,gri,-33,4,17,4,,,,,,,24.913,0.622,20.585,0.021,19.176,0.011,17.703,0.007,16.918,0.01,15.444,0.057,14.831,0.071,14.739,0.109,3157,5.165,0.018,0.159,0.137,33.61,154.8,0.013
201179217,11 29 17.742,-04 35 45.12,1,18.421,,,,11291774-0435451,,STAR,JHK,,,,,,,,,,,,,,,,,,,,,15.567,0.117,14.809,0.144,14.395,0.121,3874,4.917,-0.198,0.335,0.377,8.612,487,0.029
201179986,11 17 24.741,-04 34 38.94,1,18.201,,,,11172474-0434389,,EXTENDED,JHK,,,,,,,,,,,,,,,,,,,,,15.426,0.123,14.631,0.137,14.278,0.104,,,,,,,,
201179999,11 36 33.344,-04 34 37.78,1,18.955,,,,11363334-0434377,5973-301-3-0042-0238,STAR,gri,,,,,,,,,,,25.052,0.689,20.929,0.031,19.508,0.015,18.109,0.008,17.382,0.013,16.059,0.075,15.302,0.094,15.066,0.125,3178,5.152,0.077,0.165,0.141,31.49,218.6,0.018
201180264,11 46 33.484,-04 34 15.15,1,18.149,,,,11463348-0434151,,STAR,J,,,,,,,,,,,,,,,,,,,,,16.6,0.109,15.836,0.118,,,,,,,,,,
201180736,11 28 51.399,-04 33 30.36,1,18.067,,,,11285139-0433303,,STAR,JHK,,,,,,,,,,,,,,,,,,,,,15.56,0.065,14.832,0.051,14.603,0.1,4022,4.842,-0.213,0.42,0.481,5.608,597.4,0.032
201181031,11 18 50.629,-04 33 04.87,1,18.373,,,,11185062-0433048,,STAR,J,,,,,,,,,,,,,,,,,,,,,16.81,0.136,16.26,0.205,,,,,,,,,,
201181070,11 46 35.418,-04 33 02.28,1,18.202,,,,11463541-0433022,,STAR,JHK,,,,,,,,,,,,,,,,,,,,,15.935,0.065,15.412,0.075,15.072,0.157,3774,4.961,-0.248,0.293,0.311,11.28,446.9,0.029
201181552,11 18 15.352,-04 32 20.00,1,18.137,,,,11181535-0432199,,STAR,JHK,,,,,,,,,,,,,,,,,,,,,15.663,0.116,15.064,0.143,14.724,0.144,3873,4.913,-0.248,0.337,0.388,7.818,544.9,0.029
201181767,11 28 06.226,-04 32 01.27,1,18.051,,,,11280622-0432012,,STAR,J,,,,,,,,,,,,,,,,,,,,,16.512,0.127,,,,,,,,,,,,
201182140,11 17 31.801,-04 31 29.37,1,18.544,,,,11173180-0431293,,STAR,JHK,,,,,,,,,,,,,,,,,,,,,15.626,0.125,14.807,0.145,14.435,0.138,3890,4.883,-0.198,0.374,0.41,7.196,552.5,0.031
201183199,11 32 41.907,-04 30 03.65,1,18.11,,,,11324190-0430036,,STAR,JHK,,,,,,,,,,,,,,,,,,,,,15.595,0.118,15.143,0.182,14.633,0.133,3873,4.913,-0.248,0.349,0.388,8.484,471.5,0.029
201183525,11 33 35.716,-04 29 33.98,1,18.059,,,,11333571-0429339,5973-301-5-0040-0174,STAR,gri,-52,4,-5,4,,,,,,,23.506,0.491,20.038,0.017,18.839,0.01,17.211,0.006,16.283,0.007,14.788,0.036,14.153,0.038,13.988,0.05,4179,4.875,-0.524,0.393,0.453,6.845,423.1,0.029
201184909,11 18 10.694,-04 27 35.67,1,18.196,,,,11181069-0427356,,STAR,JHK,,,,,,,,,,,,,,,,,,,,,15.712,0.102,15.15,0.127,14.768,0.153,3810,4.915,-0.248,0.318,0.365,8.612,501.6,0.029
201185828,11 32 58.642,-04 26 14.34,1,18.539,,,,,5973-301-5-0040-0013,STAR,gri,-1,3,3,3,,,,,,,18.815,0.019,18.629,0.008,18.509,0.008,18.227,0.009,18.217,0.02,,,,,,,,,,,,,,
201187551,11 18 33.067,-04 23 46.06,1,18.281,,,,11183306-0423460,,EXTENDED,JHK,,,,,,,,,,,,,,,,,,,,,15.484,0.104,14.67,0.121,14.329,0.099,,,,,,,,
201188011,11 24 02.073,-04 23 06.03,1,18.348,,,,11240207-0423060,,EXTENDED,JHK,,,,,,,,,,,,,,,,,,,,,15.44,0.119,14.688,0.152,14.252,0.113,,,,,,,,
201188107,11 30 47.885,-04 22 58.33,1,18.822,,,,11304788-0422583,5976-301-6-0149-0493,STAR,gri,-44,4,-1,4,,,,,,,24.714,0.662,20.813,0.024,19.416,0.013,17.968,0.008,17.191,0.011,15.746,0.069,15.108,0.093,14.819,0.114,3172,5.152,0.078,0.165,0.141,31.22,186,0.019
201188657,11 40 17.201,-04 22 09.49,1,18.644,,,,11401720-0422094,5976-301-1-0157-0412,STAR,gri,,,,,,,,,,,23.321,0.326,20.741,0.025,19.212,0.011,17.745,0.008,16.903,0.01,15.405,0.043,14.788,0.061,14.607,0.087,3125,5.167,0.058,0.159,0.135,33.67,150.4,0.018
201189418,11 33 33.495,-04 21 03.30,1,19.607,,,,,5973-301-5-0041-0102,STAR,gri,-2,3,-1,3,,,,,,,20.484,0.051,19.706,0.014,19.574,0.015,19.497,0.019,19.184,0.039,,,,,,,,,,,,,,
