epic, cmapaign, cdpp_6 [ppm], duration [days]
201180326, 1, 160.76199, 80.072334,
201180957, 1, 457.44397, 80.072385,
201181269, 1, 409.97372, 80.072386,
201181415, 1, 279.80350, 80.072345,
201181471, 1, 323.02698, 80.072377,
201181629, 1, 212.29074, 80.072328,
201181946, 1, 1550.2488, 80.072392,
201182066, 1, 506.53510, 80.072391,
201182393, 1, 342.24408, 80.072392,
201182490, 1, 758.71301, 80.072390,
201182911, 1, 1322.8761, 80.072370,
201183294, 1, 260.80161, 80.072336,
201183428, 1, 638.52362, 80.072375,
201183525, 1, 2374.3806, 80.072381,
201183994, 1, 1029.2693, 80.072381,
201184068, 1, 3394.2290, 80.072382,
201184362, 1, 1386.4537, 80.072385,
201184549, 1, 158.68617, 80.072345,
201184584, 1, 435.30045, 80.072381,
201184655, 1, 5204.5259, 80.072387,
201185365, 1, 1025.9092, 80.072370,
201185368, 1, 181.48119, 80.072380,
201185457, 1, 149.43033, 80.072328,
201185577, 1, 1025.3265, 80.072413,
201185604, 1, 1165.0845, 80.072375,
201185905, 1, 580.49701, 80.072388,
201185910, 1, 546.76093, 80.072376,
201186227, 1, 1412.6002, 80.072377,
201186545, 1, 211.54021, 80.072329,
201186633, 1, 78.511299, 80.072415,
201186806, 1, 761.03583, 80.072374,
201188107, 1, 3502.0261, 80.072366,
201188657, 1, 2402.6038, 80.072411,
201188885, 1, 181.38208, 80.072421,
201189238, 1, 85.614952, 79.970246,
201189380, 1, 503.67874, 80.072376,
201189489, 1, 121.42410, 80.072414,
201189518, 1, 182.40488, 80.072344,
201189903, 1, 894.53680, 80.072376,
201189968, 1, 265.61621, 80.072450,
201189990, 1, 201.86137, 80.072403,
201190257, 1, 615.87531, 80.072415,
201190558, 1, 121.73796, 80.072422,
201190754, 1, 171.93388, 80.072438,
201191173, 1, 184.25430, 80.072445,
201191250, 1, 665.99084, 80.072371,
201191433, 1, 150.71907, 80.072343,
201191470, 1, 168.87120, 79.970201,
201191486, 1, 342.99350, 80.072365,
201192001, 1, 1865.8258, 80.072408,
201192037, 1, 510.97186, 80.072413,
201192080, 1, 82.048683, 80.072426,
201192139, 1, 122.58660, 80.072412,
201192452, 1, 561.08875, 80.072382,
201192642, 1, 1020.1689, 80.051983,
201192661, 1, 1126.2737, 80.072380,
201193448, 1, 158.35892, 80.072443,
201193591, 1, 1471.1002, 80.072385,
201193597, 1, 300.52747, 80.072357,
201193630, 1, 220.55585, 80.072339,
201194206, 1, 716.17871, 79.970214,
201194247, 1, 227.35765, 80.072377,
201194317, 1, 680.33173, 80.072408,
201195593, 1, 278.57819, 80.072379,
201195700, 1, 4241.0381, 80.072408,
201195748, 1, 116.73525, 80.072447,
201196429, 1, 253.88623, 80.072334,
201196841, 1, 274.71866, 80.072448,
201197205, 1, 2051.1125, 80.072370,
201197593, 1, 65.971771, 80.072416,
201197597, 1, 700.51642, 80.072416,
201197718, 1, 573.41852, 80.072374,
201198232, 1, 451.41434, 80.072367,
201198340, 1, 560.55109, 80.072383,
201198853, 1, 473.08984, 80.072373,
201199104, 1, 218.68089, 80.072340,
201199177, 1, 175.36949, 80.072435,
201199213, 1, 176.57260, 80.072361,
201199556, 1, 217.49405, 80.072431,
201199609, 1, 238.44667, 80.072426,
201200709, 1, 224.65279, 80.072419,
201201221, 1, 187.86720, 80.072451,
201201584, 1, 138.13800, 80.072415,
201201605, 1, 648.75195, 80.072362,
201202065, 1, 491.97479, 80.072373,
201202200, 1, 128.23682, 80.072328,
201202230, 1, 185.74956, 80.072327,
201202258, 1, 214.79863, 80.072424,
201202388, 1, 828.18140, 80.072411,
201202491, 1, 352.27533, 80.072365,
201202614, 1, 269.60190, 80.072404,
201203093, 1, 786.99939, 80.072375,
201203138, 1, 718.89240, 80.072377,
201203275, 1, 201.82187, 80.072327,
201203297, 1, 188.54486, 80.072445,
201203742, 1, 409.96246, 80.072396,
201203957, 1, 448.64822, 80.072332,
201204261, 1, 460.06284, 80.072367,
201204268, 1, 1385.3822, 80.072399,
201204580, 1, 134.33374, 80.072368,
201204715, 1, 70.010689, 80.072352,
201204782, 1, 1698.4767, 80.072367,
201204808, 1, 133.10074, 80.072410,
201204860, 1, 1993.8478, 80.072370,
201205469, 1, 426.76520, 80.072312,
201205590, 1, 198.96768, 80.072333,
201205648, 1, 1852.8986, 80.072378,
201205741, 1, 955.53510, 80.072376,
201205972, 1, 150.55484, 80.072408,
201206091, 1, 2487.4565, 79.970222,
201206470, 1, 357.43994, 80.072403,
201206565, 1, 96.904648, 80.072320,
201206645, 1, 99.507622, 80.072351,
201206773, 1, 353.58209, 80.072412,
201207332, 1, 441.96747, 80.072400,
201208142, 1, 210.63080, 80.072372,
201208212, 1, 172.77747, 80.072444,
201208421, 1, 3254.0640, 80.072377,
201208431, 1, 112.84879, 80.072393,
201208433, 1, 583.96332, 80.051933,
201208496, 1, 35.741165, 80.072398,
201208499, 1, 993.64203, 80.072395,
201209123, 1, 218.16415, 80.072426,
201209949, 1, 401.42154, 80.072398,
201209957, 1, 430.96533, 80.072321,
201210002, 1, 276.61853, 80.072313,
201210268, 1, 312.51978, 80.072355,
201210415, 1, 81.317894, 80.072373,
201210448, 1, 190.74530, 80.072429,
201210616, 1, 353.37234, 80.072393,
201211081, 1, 190.64584, 80.072394,
201211117, 1, 3222.5254, 80.072407,
201211139, 1, 661.90076, 80.072408,
201211805, 1, 302.94781, 80.072317,
201211859, 1, 334.36685, 80.072431,
201212375, 1, 2040.6173, 80.051963,
201212408, 1, 236.43062, 80.072438,
201212579, 1, 75.453331, 80.072401,
201213064, 1, 365.27600, 80.072373,
201213161, 1, 187.81691, 80.072408,
201213277, 1, 1090.7994, 80.072395,
201214378, 1, 74.192986, 80.051894,
201214521, 1, 255.08243, 80.072375,
201214777, 1, 826.37939, 80.072397,
201214930, 1, 2189.1455, 80.072365,
201214943, 1, 571.24054, 80.072355,
201216156, 1, 276.23492, 80.072402,
201216277, 1, 1439.3541, 80.072359,
201216313, 1, 614.36511, 80.072364,
201216445, 1, 68.891685, 80.072373,
201217081, 1, 67.578949, 80.072398,
201217734, 1, 292.53275, 80.072309,
201218098, 1, 485.74905, 80.072355,
201218177, 1, 743.93732, 80.072437,
201218611, 1, 477.40866, 80.072363,
201218662, 1, 1154.0140, 80.072429,
201218770, 1, 1582.8438, 80.072338,
201218774, 1, 209.21373, 80.072358,
201218785, 1, 586.25439, 80.072317,
201219006, 1, 432.74792, 80.072406,
201219166, 1, 383.82739, 79.970266,
201219544, 1, 499.35910, 80.072373,
201219579, 1, 3465.1868, 80.072315,
201219762, 1, 352.08963, 80.072318,
201219817, 1, 2088.4443, 80.072305,
201219907, 1, 539.75201, 80.072524,
201220064, 1, 671.84070, 80.072324,
201220237, 1, 921.76636, 80.072370,
201220417, 1, 665.76794, 80.072518,
201220693, 1, 731.74988, 80.072341,
201220889, 1, 590.06866, 80.072329,
201220907, 1, 259.60962, 80.072314,
201221014, 1, 203.63222, 80.072405,
201221058, 1, 456.58221, 80.072343,
201221419, 1, 298.22144, 80.072374,
201221495, 1, 616.34247, 80.072338,
201221597, 1, 524.63373, 80.072358,
201221612, 1, 537.85919, 80.072414,
201221645, 1, 675.34790, 80.072427,
201221659, 1, 1527.5092, 80.072365,
201221731, 1, 534.55652, 80.072350,
201222038, 1, 827.91119, 80.072402,
201222078, 1, 408.69897, 80.072330,
201222171, 1, 418.20428, 80.072325,
201222233, 1, 628.56299, 80.072326,
201222359, 1, 876.99115, 80.072408,
201222543, 1, 393.26309, 80.072367,
201222650, 1, 1413.2638, 80.072343,
201222893, 1, 427.75906, 80.072405,
201223149, 1, 615.37994, 80.072322,
201223298, 1, 337.77563, 80.072314,
201223317, 1, 392.11627, 80.072348,
201223827, 1, 1198.3224, 80.072510,
201224069, 1, 283.05383, 80.072312,
201224192, 1, 2418.7449, 80.072349,
201224542, 1, 576.40808, 80.072418,
201224593, 1, 679.29114, 80.072415,
201224995, 1, 47.273754, 80.072375,
201225128, 1, 722.04688, 80.072316,
201225640, 1, 489.63498, 80.072349,
201225697, 1, 470.72864, 80.072389,
201225808, 1, 2907.4819, 80.072393,
201225905, 1, 3066.0742, 80.072373,
201226235, 1, 228.68869, 80.072314,
201226279, 1, 291.85797, 79.970249,
201226380, 1, 649.87604, 80.072342,
201226468, 1, 844.27075, 80.072316,
201226609, 1, 114.43833, 80.072318,
201226617, 1, 2703.8477, 80.072313,
201226723, 1, 586.12262, 80.072360,
201226945, 1, 1305.5485, 80.072371,
201226951, 1, 1369.7911, 80.072523,
201226955, 1, 857.78900, 80.072514,
201227026, 1, 640.40674, 80.072306,
201227144, 1, 4852.5796, 80.072324,
201227253, 1, 228.24422, 80.072518,
201227345, 1, 2397.8511, 80.072326,
201227456, 1, 3168.4185, 80.072367,
201227474, 1, 1394.8794, 80.072526,
201227674, 1, 1390.3021, 80.072375,
201227874, 1, 1376.7183, 80.051885,
201228421, 1, 2429.0242, 80.072368,
201228832, 1, 556.05151, 80.072303,
201229345, 1, 2073.8870, 80.072338,
201229393, 1, 2001.2157, 80.072521,
201229550, 1, 231.54158, 80.072315,
201229706, 1, 1057.4639, 80.072316,
201229770, 1, 345.54193, 80.072310,
201230145, 1, 2977.6311, 80.072315,
201230238, 1, 1458.5028, 80.072511,
201230297, 1, 878.10120, 80.072515,
201230332, 1, 649.73651, 80.072345,
201230523, 1, 101.23737, 80.072497,
201230665, 1, 839.40179, 80.072315,
201230694, 1, 274.15387, 80.072323,
201231156, 1, 4786.3716, 80.072388,
201231394, 1, 8152.7661, 80.072349,
201231462, 1, 445.00421, 80.072487,
201231586, 1, 406.04889, 80.072349,
201231940, 1, 1497.0770, 80.072372,
201231945, 1, 877.12531, 80.072338,
201231946, 1, 2770.2102, 80.072352,
201232006, 1, 540.07697, 80.072518,
201232016, 1, 2527.1431, 80.072392,
201232054, 1, 472.58862, 80.072336,
201232220, 1, 419.25079, 80.072319,
201232255, 1, 698.34821, 80.072346,
201232589, 1, 320.87274, 80.072309,
201233020, 1, 3451.5227, 80.072391,
201233196, 1, 527.59692, 80.072334,
201233220, 1, 253.93541, 80.072401,
201233351, 1, 330.60837, 80.072301,
201233375, 1, 1056.8308, 80.051888,
201233446, 1, 1292.4473, 80.072492,
201233534, 1, 744.38391, 80.072371,
201233579, 1, 522.35803, 80.072369,
201234273, 1, 691.26465, 80.072322,
201234395, 1, 284.56885, 80.072314,
201234594, 1, 809.22559, 80.072514,
201234609, 1, 305.74445, 80.072309,
201234915, 1, 1367.4077, 80.072359,
201234927, 1, 1606.9691, 80.072478,
201234956, 1, 2403.8435, 80.072523,
201235024, 1, 169.77213, 80.072360,
201235437, 1, 160.41133, 80.072360,
201235556, 1, 141.21762, 80.051914,
201235572, 1, 805.70496, 80.072317,
201235619, 1, 1035.5374, 80.072503,
201235798, 1, 847.79425, 80.072303,
201235991, 1, 427.94116, 80.072313,
201236041, 1, 174.43796, 80.072373,
201236172, 1, 3442.7336, 80.072322,
201236433, 1, 423.07510, 80.072311,
201236530, 1, 1299.6281, 80.072350,
201236740, 1, 380.11758, 80.072320,
201236820, 1, 849.39056, 80.072310,
201236999, 1, 1407.7264, 80.072318,
201237203, 1, 5101.7065, 80.072485,
201237257, 1, 26.814331, 80.072355,
201237334, 1, 1225.4402, 80.072369,
201237416, 1, 605.68597, 80.072312,
201237630, 1, 193.58270, 80.072387,
201238166, 1, 1684.5803, 80.072385,
201238229, 1, 1265.7002, 80.072364,
201238474, 1, 454.52997, 80.072346,
201238699, 1, 907.38696, 80.072506,
201238749, 1, 838.70264, 80.072299,
201238804, 1, 434.94708, 80.072490,
201238944, 1, 1025.3503, 80.072464,
201239039, 1, 952.12299, 80.072311,
201239166, 1, 644.42419, 80.072467,
201239251, 1, 407.97437, 80.072501,
201239253, 1, 3299.0007, 80.072513,
201239401, 1, 183.04648, 80.072350,
201239501, 1, 708.12445, 80.072509,
201239746, 1, 1326.6617, 80.072500,
201239992, 1, 1091.9583, 80.072498,
201240084, 1, 246.65913, 80.072333,
201240162, 1, 264.84146, 80.072335,
201240295, 1, 273.20267, 80.072300,
201240414, 1, 314.46310, 80.072469,
201240677, 1, 146.01419, 80.072325,
201241002, 1, 723.66022, 80.072310,
201241039, 1, 99.801979, 80.072338,
201241449, 1, 299.80374, 80.072505,
201241483, 1, 704.29333, 80.072321,
201241563, 1, 721.06543, 80.072307,
201241667, 1, 1200.7523, 80.072316,
201241745, 1, 326.53247, 80.072366,
201241779, 1, 343.18723, 80.072499,
201242012, 1, 542.06024, 80.072354,
201242139, 1, 414.97009, 80.072350,
201242315, 1, 575.82672, 80.072347,
201242435, 1, 3888.5425, 80.072299,
201242596, 1, 333.34268, 80.072317,
201242666, 1, 518.90674, 80.072321,
201242695, 1, 545.06598, 80.072306,
201242731, 1, 752.48309, 80.072473,
201242879, 1, 1254.4261, 80.072353,
201243003, 1, 754.49933, 80.072307,
201243013, 1, 672.00970, 80.072336,
201243398, 1, 4260.0327, 80.072502,
201243922, 1, 840.66791, 80.072309,
201244357, 1, 1385.9725, 80.072371,
201244437, 1, 2922.9050, 80.072363,
201244456, 1, 563.99640, 80.072320,
201244499, 1, 404.07053, 79.949863,
201244667, 1, 1665.5806, 80.072488,
201244836, 1, 951.46716, 80.072512,
201245065, 1, 1280.6444, 80.072492,
201245093, 1, 858.52338, 80.051866,
201245233, 1, 786.04779, 80.072322,
201245705, 1, 622.20264, 80.072340,
201245803, 1, 274.98593, 80.072510,
201245982, 1, 1446.6204, 80.072355,
201246008, 1, 510.03058, 80.072478,
201246144, 1, 641.09137, 80.072363,
201246146, 1, 658.04303, 80.072371,
201246161, 1, 1266.2994, 80.072353,
201246229, 1, 463.96973, 80.072336,
201246302, 1, 1798.8353, 80.072301,
201246338, 1, 581.89771, 80.072301,
201246342, 1, 786.52747, 80.072307,
201246349, 1, 1865.1212, 80.072312,
201246449, 1, 714.62012, 80.072318,
201246963, 1, 1362.7694, 80.072516,
201247003, 1, 1176.7592, 80.072337,
201247091, 1, 110.44853, 80.072508,
201247383, 1, 1070.1327, 80.072515,
201247497, 1, 820.00598, 80.072456,
201247574, 1, 318.52243, 80.072298,
201247635, 1, 2769.4771, 80.072296,
201247645, 1, 142.30925, 80.072350,
201247676, 1, 1290.5905, 80.072501,
201247890, 1, 1798.3969, 80.072507,
201247961, 1, 1610.8197, 80.072366,
201248032, 1, 401.99222, 80.072332,
201248219, 1, 997.96265, 80.072519,
201248254, 1, 211.02707, 80.072319,
201248545, 1, 3103.3088, 80.072471,
201248605, 1, 145.17989, 80.072455,
201248647, 1, 884.12695, 80.072490,
201248886, 1, 756.33215, 80.072492,
201249247, 1, 972.95721, 80.072299,
201249311, 1, 617.65784, 80.072297,
201249315, 1, 413.73160, 80.072476,
201249344, 1, 602.90778, 80.072330,
201249739, 1, 1056.2434, 80.072496,
201249966, 1, 245.33173, 80.072332,
201250153, 1, 400.70242, 80.072495,
201250366, 1, 884.76294, 80.072468,
201250742, 1, 1113.4855, 80.072473,
201250776, 1, 1196.0074, 80.072334,
201250907, 1, 1211.4951, 80.072330,
201251371, 1, 2320.0576, 80.072321,
201251380, 1, 2419.7131, 80.072300,
201252056, 1, 1350.8042, 80.072492,
201252103, 1, 1603.3782, 80.072310,
201252111, 1, 2721.6699, 80.072297,
201252233, 1, 63.035908, 80.072332,
201252475, 1, 2855.7131, 80.072498,
201252476, 1, 503.86462, 80.072355,
201252869, 1, 114.56133, 80.072303,
201253219, 1, 222.86436, 80.072500,
201253640, 1, 194.40909, 80.072355,
201253686, 1, 344.50189, 80.072513,
201253698, 1, 3379.7034, 80.072304,
201253969, 1, 600.81787, 80.072313,
201254054, 1, 282.59698, 80.072344,
201254192, 1, 703.25049, 80.072456,
201254423, 1, 1253.9734, 80.072479,
201254473, 1, 191.81833, 80.072346,
201254485, 1, 91.388222, 80.072304,
201254853, 1, 615.20148, 80.072345,
201254860, 1, 400.97513, 80.072352,
201254875, 1, 446.75690, 80.072338,
201254931, 1, 648.06390, 80.072335,
201254976, 1, 539.86176, 80.072479,
201255251, 1, 363.03531, 80.072309,
201255260, 1, 3935.6152, 80.072294,
201255660, 1, 782.78644, 80.072294,
201255815, 1, 625.94073, 80.072294,
201255863, 1, 270.11639, 80.072329,
201255972, 1, 845.73590, 79.970297,
201256072, 1, 663.87329, 80.072465,
201256364, 1, 1896.6696, 80.072450,
201256540, 1, 1000.7241, 80.072305,
201256600, 1, 910.81281, 80.072319,
201256883, 1, 484.51129, 80.072293,
201257148, 1, 1329.9038, 80.072297,
201257566, 1, 344.78455, 80.072450,
201257852, 1, 2430.7581, 80.072506,
201257950, 1, 4801.2856, 80.072299,
201258065, 1, 839.67078, 80.072469,
201258171, 1, 5730.9766, 80.052017,
201258213, 1, 48.407711, 80.072342,
201258410, 1, 1699.5770, 80.072344,
201258507, 1, 2193.6577, 80.072457,
201258852, 1, 383.68509, 80.072489,
201259151, 1, 691.60272, 80.072300,
201259188, 1, 1119.0536, 80.072457,
201259311, 1, 1754.1252, 80.072508,
201259355, 1, 368.24872, 80.072454,
201259493, 1, 207.75937, 80.072336,
201259679, 1, 606.35376, 80.072331,
201259938, 1, 6037.1123, 80.072318,
201259962, 1, 403.83609, 80.072466,
201260027, 1, 254.94254, 80.072511,
201260235, 1, 615.72107, 80.072451,
201260284, 1, 1251.9934, 80.072301,
201260662, 1, 183.87874, 80.072328,
201260947, 1, 5524.7637, 80.072307,
201261407, 1, 805.79675, 80.072319,
201261754, 1, 594.61621, 80.072456,
201262366, 1, 1421.5867, 80.072464,
201262449, 1, 1343.0795, 80.072504,
201262469, 1, 106.28415, 80.072487,
201262497, 1, 6821.8105, 80.072500,
201262557, 1, 266.94626, 80.072488,
201262606, 1, 819.83142, 80.072456,
201263014, 1, 838.59827, 80.072304,
201263320, 1, 638.49243, 80.072501,
201263353, 1, 327.20624, 80.072311,
201263800, 1, 454.69131, 80.072314,
201263889, 1, 414.66672, 80.072310,
201264179, 1, 278.98740, 80.072296,
201264207, 1, 1121.2179, 80.072327,
201264302, 1, 104.43221, 80.072296,
201264346, 1, 2930.7544, 80.072303,
201264581, 1, 536.38330, 80.072329,
201265102, 1, 1268.0670, 80.072451,
201265634, 1, 787.98456, 80.072293,
201265713, 1, 567.10046, 80.072490,
201265717, 1, 591.85699, 80.072449,
201265757, 1, 1126.7321, 80.072511,
201265814, 1, 622.85962, 80.072495,
201266618, 1, 1255.7950, 80.072497,
201266772, 1, 893.97705, 80.072459,
201267101, 1, 403.05768, 80.072329,
201267238, 1, 498.00354, 80.072296,
201267341, 1, 496.23978, 80.072495,
201267664, 1, 747.20203, 80.051882,
201267690, 1, 712.57251, 80.072295,
201267918, 1, 2818.4385, 80.072493,
201268019, 1, 840.51990, 80.072315,
201268053, 1, 864.70459, 80.072491,
201268111, 1, 280.72086, 80.072470,
201268284, 1, 899.57629, 80.072502,
201268546, 1, 1339.0134, 80.072452,
201268724, 1, 59.739754, 80.072291,
201268834, 1, 307.60245, 80.072306,
201268987, 1, 1304.3604, 80.072462,
201269180, 1, 2356.1191, 80.072297,
201269344, 1, 734.59729, 80.072293,
201269521, 1, 3412.2075, 80.072468,
201269535, 1, 883.22253, 80.072291,
201269591, 1, 140.36926, 80.072300,
201269592, 1, 677.42889, 80.072316,
201269867, 1, 766.12366, 80.072316,
201269874, 1, 329.93466, 80.072310,
201270046, 1, 267.98529, 80.072299,
201270095, 1, 123.81210, 80.052026,
201270491, 1, 169.52296, 80.072293,
201270635, 1, 5967.7695, 80.072294,
201270658, 1, 573.68054, 80.072450,
201270714, 1, 281.10843, 80.072315,
201270778, 1, 1785.6084, 80.052074,
201270984, 1, 1843.0133, 80.072466,
201271189, 1, 57.952705, 80.072312,
201271197, 1, 585.58032, 80.072505,
201271230, 1, 589.17468, 80.072304,
201271355, 1, 544.75464, 80.072451,
201271768, 1, 894.10944, 80.072484,
201272216, 1, 682.20123, 80.072510,
201272345, 1, 600.05951, 80.072293,
201272536, 1, 369.41611, 80.072299,
201272609, 1, 113.28077, 80.072469,
201272697, 1, 555.75555, 80.072291,
201272877, 1, 1613.6947, 80.072302,
