EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
201756263,11 41 38.195,+04 35 25.97,1,8.494,57034,275-700-1,473-047393,11413820+0435259,,STAR,gri,plx,-35.36,1.48,-2.79,1,11.39,1.28,8.332,0.018,8.009,0.013,,,9.581,0.03,8.952,0.04,8.028,0.06,,,7.33,0.023,7.211,0.04,7.122,0.023,,,,,,,,,5863,93,116,4.095,0.065,0.13,0.172,0.08,0.14,1.609,0.264,0.118,1.211,0.097,0.097,0.274,0.077,0.1,87.8,9.866,9.866,0.016,0.012,0.006,,,
201756632,11 11 13.611,+04 35 51.07,1,9.874,,266-403-1,473-046712,11111361+0435510,,STAR,BV,rpm,-12.7,1.8,-1.3,1.8,,,11.023,0.072,10.103,0.043,,,,,,,,,,,8.401,0.023,7.968,0.042,7.845,0.017,,,,,,,,,4949,183,153,2.443,0.574,0.084,-0.506,0.42,0.35,9.959,1.062,3.958,1.034,0.45,0.141,9.81E-04,0.004,2.37E-04,692.5,54.67,240,0.03,0.016,0.01,,,
201760720,11 16 44.174,+04 40 08.68,1,9.707,,266-91-1,474-046806,11164417+0440085,,STAR,gri,rpm,-4.9,1.8,2.1,1.8,,,11.092,0.072,9.998,0.036,,,10.722,0.15,9.753,0.07,9.271,0.08,,,8.106,0.024,7.592,0.051,7.44,0.02,,,,,,,,,4659,108,135,2.413,0.185,0.185,-0.146,0.2,0.36,11.465,2.949,1.729,1.266,0.291,0.242,8.17E-04,7.69E-04,3.96E-04,645,127.6,78.02,0.034,0.014,0.012,,,
201761655,11 13 00.275,+04 41 08.69,1,9.707,,266-441-1,474-046700,11130027+0441086,,STAR,BV,rpm,5.4,1.6,-13.4,1.6,,,11.587,0.131,10.027,0.036,,,,,,,,,,,6.73,0.018,5.87,0.026,5.617,0.023,,,,,,,,,3824,89,112,0.858,0.29,0.464,-0.357,0.36,0.36,62.262,33.551,17.199,1.006,0.302,0.084,3.83E-06,7.26E-06,2.90E-06,1354,610.5,281,0.032,0.015,0.011,,,
201761963,11 13 50.167,+04 41 26.46,1,9.566,,266-763-1,474-046717,11135016+0441262,,STAR,gri,rpm,20.9,2.1,-44.3,2,,,11.081,0.065,9.937,0.032,,,10.539,0.03,9.763,0.04,9.15,0.03,,,7.883,0.018,7.294,0.047,7.139,0.023,,,,,,,,,4837,76,115,2.621,0.476,0.408,-0.456,0.25,0.35,7.979,3.715,3.307,1.004,0.178,0.099,0.002,0.008,0.001,422.2,174.2,161.9,0.03,0.014,0.01,,,
201762265,11 53 18.772,+04 41 45.36,1,9.51,,276-658-1,474-047554,11531877+0441453,,STAR,BV,rpm,-5.5,1.6,-33.6,1.6,,,10.056,0.034,9.574,0.032,,,,,,,,,,,8.783,0.026,8.605,0.033,8.54,0.019,,,,,,,,,6582,324,270,4.121,0.15,0.24,-0.002,0.12,0.15,1.662,0.697,0.327,1.399,0.216,0.18,0.269,0.204,0.16,202.9,82.65,43.94,0.026,0.016,0.009,,,
201763504,11 48 33.338,+04 43 02.33,1,9.39,,275-602-1,474-047464,11483335+0443022,,STAR,gri,rpm,-0.7,2.5,3.1,2.4,,,11.535,0.177,9.859,0.043,,,10.821,0.23,9.599,0.16,8.776,0.04,,,7.126,0.019,6.431,0.031,6.197,0.024,,,,,,,,,4156,96,120,1.65,0.11,0.242,-0.023,0.2,0.28,27.736,6.957,3.844,1.304,0.184,0.221,5.87E-05,2.54E-05,3.33E-05,855.1,143.1,106.2,0.028,0.02,0.014,,,
201765225,11 42 07.334,+04 44 50.43,1,7.171,57083,275-328-1,474-047330,11420734+0444505,,STAR,BV,plx,-229.58,0.55,34.27,0.5,27.62,0.58,7.868,0.017,7.276,0.011,,,,,,,,,,,6.203,0.024,5.927,0.033,5.82,0.021,,,,,,,,,5937,237,284,4.399,0.09,0.126,-0.112,0.2,0.24,1.056,0.201,0.169,1.023,0.11,0.132,0.836,0.359,0.329,36.21,1.086,1.086,0.007,0.004,0.002,,,
201775337,11 22 28.658,+04 55 20.53,1,9.858,,267-430-1,475-048310,11222865+0455205,,STAR,gri,rpm,-1.8,2.5,13,2.3,,,11.272,0.096,10.054,0.045,,,10.712,0.05,9.753,0.06,9.492,0.14,,,8.184,0.026,7.648,0.024,7.5,0.023,,,,,,,,,4671,93,93,2.457,0.221,0.085,-0.056,0.15,0.18,11.182,0.663,1.881,1.318,0.333,0.185,9.04E-04,8.50E-04,1.69E-04,656,37.27,84.64,0.034,0.016,0.013,,,
201775845,11 37 29.640,+04 55 51.71,1,9.424,,274-462-1,475-048636,11372963+0455516,,STAR,gri,rpm,-11.8,2,-8.7,1.9,,,10.825,0.069,9.642,0.032,,,10.458,0.02,9.516,0.08,8.98,0.02,,,7.765,0.027,7.229,0.044,7.079,0.023,,,,,,,,,4607,109,91,2.409,0.155,0.341,-0.072,0.15,0.39,11.753,5.095,1.181,1.282,0.267,0.321,7.80E-04,4.56E-04,5.22E-04,557.2,193.8,52.76,0.032,0.016,0.013,,,
201777168,11 40 56.949,+04 57 12.48,1,8.626,,275-460-1,475-048710,11405695+0457121,,STAR,gri,rpm,-50.2,1.7,38.5,1.6,,,8.66,0.019,8.273,0.014,,,9.674,0.07,8.922,0.15,8.177,0.06,,,7.359,0.021,7.18,0.023,7.12,0.023,,,,,,,,,6330,189,151,4.04,0.276,0.276,0.04,0.08,0.16,1.791,0.739,0.608,1.385,0.248,0.206,0.211,0.367,0.134,107.7,43.04,35.76,0.018,0.011,0.007,,,
201777342,11 15 30.897,+04 57 23.50,1,9.742,54985,266-468-1,475-048142,11153089+0457235,,STAR,gri,plx,-36.14,1.19,-11.21,0.73,0.53,1.04,9.244,0.018,9.366,0.02,,,9.959,0.42,9.654,0.11,9.649,0.05,,,9.554,0.023,9.629,0.026,9.621,0.02,,,,,,,,,8930,557,557,4.093,0.12,0.12,-0.067,0.1,0.18,2.119,0.307,0.31,2.108,0.164,0.192,0.21,0.112,0.073,1887,3702,3702,0.033,0.018,0.013,,,
201782028,11 42 38.975,+05 02 31.95,1,9.651,,278-578-1,476-050085,11423896+0502319,,STAR,gri,rpm,19.6,1.9,-30.3,1.8,,,11.169,0.089,10.087,0.046,,,10.612,0.02,9.689,0.02,9.24,0.03,,,7.971,0.024,7.305,0.036,7.149,0.026,,,,,,,,,4500,72,54,1.97,0.282,0.329,-0.522,0.25,0.25,16.501,7.262,4.325,0.973,0.103,0.074,1.71E-04,2.92E-04,1.08E-04,841.1,288.3,176.7,0.038,0.005,0.014,,,
201787591,11 40 29.261,+05 08 23.79,1,8.336,56951,278-750-1,476-050034,11402926+0508236,,STAR,gri,plx,7.77,0.91,0.16,0.62,5.79,0.74,7.981,0.016,7.513,0.011,,,9.608,0.05,8.721,0.03,7.791,0.08,,,6.616,0.021,6.443,0.031,6.35,0.02,,,,,,,,,6698,266,212,3.601,0.072,0.045,0.024,0.1,0.08,3.622,0.324,0.391,2.001,0.102,0.143,0.039,0.012,0.006,172.7,22.07,22.07,0.026,0.01,0.01,,,
201787626,11 41 49.587,+05 08 26.51,1,9.096,57058,278-150-1,476-050070,11414959+0508265,,STAR,gri,plx,216.38,1.57,-472.37,1.29,33,1.51,10.781,0.067,9.617,0.032,,,10.347,0.02,9.219,0.04,8.56,0.07,,,7.23,0.026,6.594,0.059,6.425,0.02,,,,,,,,,4389,53,70,4.682,0.021,0.02,0.154,0.08,0.1,0.628,0.019,0.026,0.696,0.021,0.026,2.786,0.283,0.222,30.3,1.387,1.387,0.006,0.004,0.003,,,
